deviceId,deviceName,startTime,endTime,taskType,durationSeconds,actualCleaningAreaSquareMeter,plannedCleaningAreaSquareMeter,waterConsumptionLiter,batteryConsumption,taskEndStatus
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-20T22:20:28.000Z,2025-10-20T22:37:05.000Z,2층전체청소하기: F2,68,13.43750040046871,3743.732611571924,1.7174260000000001,1,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-20T22:37:55.000Z,2025-10-20T23:21:28.000Z,2층전체청소하기: F2,67,15.057500448748472,3743.9051115770644,2.4388759999999996,2,1
GS100-0210-EBN-C000,고양스타필드 주차장 X SC75,2025-10-20T23:50:07.000Z,2025-10-21T09:01:30.000Z,1: B2,5500,1101.9675328411909,3022.0950900654507,112.69779200000005,0,2
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T00:45:58.000Z,2025-10-21T04:36:58.000Z,2층전체청소하기: F2,13091,3564.842606240586,3792.2776130186776,497.177564,65,0
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-21T02:30:09.000Z,2025-10-21T03:40:29.000Z,B1층식당가전체: B1-WEST원래지도,3054,990.1975295101854,1283.1675382413719,122.84835299999997,11,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-21T03:41:16.000Z,2025-10-21T21:46:14.000Z,B1층식당가전체: B1-WEST원래지도,409,140.17750417761508,1277.9075380846116,19.500426,-85,1
GS100-0210-F3P-H000,고양스타필드 1호기 X SC75,2025-10-21T22:04:25.000Z,2025-10-22T01:37:44.000Z,3층전체청소하기: F3,12175,2904.6450865651673,3781.072612684742,424.457355,62,0
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T22:09:11.000Z,2025-10-21T22:14:09.000Z,2층전체청소하기: F2,69,14.905000444203619,3743.8826115763936,2.107654,1,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T22:19:06.000Z,2025-10-21T22:25:29.000Z,2층전체청소하기: F2,45,10.730000319778922,3743.6951115708057,1.4215369999999998,1,1
GS100-0210-J3P-5200,고양스타필드 2호기 X SC75,2025-10-21T22:34:32.000Z,2025-10-21T22:48:48.000Z,2층전체청소하기: F2,99,16.987500506266954,3743.877611576245,2.187163,2,1
